8845156432589    | CZY001  | Czyszczenie maszyny (drobne)               |    150.0 zł | gtu=GTU_12 | pkwiu=77.32.19.0
8845156436448    | CZY002  | Czyszczenie maszyny (trudne)               |    400.0 zł | gtu=GTU_12 | pkwiu=77.32.19.0
8845156436449    | PZT001  | Ponadnormatywny przestój transportu        |    200.0 zł | gtu=GTU_12 | pkwiu=77.32.19.0
8845156432587    | TRA001  | Transport maszyny                          |    400.0 zł | gtu=GTU_12 | pkwiu=77.32.19.0
8845156432620    | TAN001  | Usługa tankowania                          |    200.0 zł | gtu=GTU_12 | pkwiu=77.32.19.0
8845156436450    | SER001  | Wezwanie serwisowe                         |    280.0 zł | gtu=GTU_12 | pkwiu=77.32.19.0
8845156432567    | KOP001  | Wynajem koparki CAT 320                    |    500.0 zł | gtu=GTU_12 | pkwiu=77.32.19.0
8845156436442    | LAD001  | Wynajem ładowarki JCB 3CX                  |    650.0 zł | gtu=GTU_12 | pkwiu=77.32.19.0
8845156432584    | POD001  | Wynajem podnośnika Haulotte                |    400.0 zł | gtu= | pkwiu=
8845156436443    | POD001  | Wynajem podnośnika Haulotte 18m            |    450.0 zł | gtu=GTU_12 | pkwiu=77.32.19.0
8845156436444    | SPY001  | Wynajem spychara Wirtgen                   |   1200.0 zł | gtu=GTU_12 | pkwiu=77.32.19.0
8845156436446    | ZAG001  | Wynajem zagęszczarki Wacker Neuson         |    150.0 zł | gtu=GTU_12 | pkwiu=77.32.19.0
