postal_code,city,gmina,powiat,wojewodztwo
07-405,Aleksandrowo,Troszyn,ostrołęcki,mazowieckie
09-440,Aleksandrowo,Staroźreby,płocki,mazowieckie
06-330,Aleksandrowo,Chorzele,przasnyski,mazowieckie
16-503,Aleksandrowo,Krasnopol,sejneński,podlaskie
17-315,Aleksandrowo,Grodzisk,siemiatycki,podlaskie
16-423,Aleksandrowo,Bakałarzewo,suwalski,podlaskie
12-250,Aleksandrowo,Orzysz,piski,warmińsko-mazurskie
63-800,Aleksandrowo,Gostyń,gostyński,wielkopolskie
64-308,Aleksandrowo,Rakoniewice,grodziski,wielkopolskie
64-400,Aleksandrowo,Międzychód,międzychodzki,wielkopolskie
64-510,Aleksandrowo,Wronki,szamotulski,wielkopolskie
62-120,Aleksandrowo,Wapno,wągrowiecki,wielkopolskie
06-445,Aleksandrowo,Strzegowo,mławski,mazowieckie
23-408,Aleksandrów,Aleksandrów,biłgorajski,lubelskie
23-275,Aleksandrów,Gościeradów,kraśnicki,lubelskie
21-400,Aleksandrów,Łuków,łukowski,lubelskie
21-421,Aleksandrów,Stanin,łukowski,lubelskie
97-438,Aleksandrów,Rusiec,bełchatowski,łódzkie
99-307,Aleksandrów,Strzelce,kutnowski,łódzkie
99-319,Aleksandrów,Żychlin,kutnowski,łódzkie
26-337,Aleksandrów,Aleksandrów,piotrkowski,łódzkie
97-360,Aleksandrów,Kamieńsk,radomszczański,łódzkie
96-230,Aleksandrów,Rawska,rawski,łódzkie
97-225,Aleksandrów,Ujazd,tomaszowski,łódzkie
26-811,Aleksandrów,Wyśmierzyce,białobrzeski,mazowieckie
08-450,Aleksandrów,Łaskarzew,garwoliński,mazowieckie
09-540,Aleksandrów,Sanniki,gostyniński,mazowieckie
05-652,Aleksandrów,Pniewy,grójecki,mazowieckie
26-910,Aleksandrów,Magnuszew,kozienicki,mazowieckie
05-126,Aleksandrów,Nieporęt,legionowski,mazowieckie
27-350,Aleksandrów,Sienno,lipski,mazowieckie
05-306,Aleksandrów,Jakubów,miński,mazowieckie
05-152,Aleksandrów,Czosnów,nowodworski,mazowieckie
05-530,Aleksandrów,Kalwaria,piaseczyński,mazowieckie
26-630,Aleksandrów,Jedlnia-Letnisko,radomski,mazowieckie
96-521,Aleksandrów,Iłów,sochaczewski,mazowieckie
96-514,Aleksandrów,Rybno,sochaczewski,mazowieckie
26-510,Aleksandrów,Chlewiska,szydłowiecki,mazowieckie
96-317,Aleksandrów,Wiskitki,żyrardowski,mazowieckie
46-320,Aleksandrów,Praszka,oleski,opolskie
42-230,Aleksandrów,Koniecpol,częstochowski,śląskie
42-140,Aleksandrów,Panki,kłobucki,śląskie
28-340,Aleksandrów,Sędziszów,jędrzejowski,świętokrzyskie
28-425,Aleksandrów,Pińczów,pińczowski,świętokrzyskie
62-831,Aleksandrów,Mycielin,kaliski,wielkopolskie
62-652,Aleksandrów,Chodów,kolski,wielkopolskie
63-040,Aleksandrów,Wartą,średzki,wielkopolskie
62-731,Aleksandrów,Przykona,turecki,wielkopolskie
87-700,Aleksandrów,Kujawski,aleksandrowski,kujawsko-pomorskie
95-070,Aleksandrów,Łódzki,zgierski,łódzkie
98-100,Aleksandrówek,Łask,łaski,łódzkie
99-150,Aleksandrówek,Grabów,łęczycki,łódzkie
99-200,Aleksandrówek,Poddębice,poddębicki,łódzkie
62-580,Aleksandrówek,Grodziec,koniński,wielkopolskie
21-570,Aleksandrówka,Drelów,bialski,lubelskie
22-107,Aleksandrówka,Sawin,chełmski,lubelskie
23-320,Aleksandrówka,Batorz,janowski,lubelskie
21-140,Aleksandrówka,Michów,lubartowski,lubelskie
21-450,Aleksandrówka,Łukowski,łukowski,lubelskie
99-321,Aleksandrówka,Żychlin,kutnowski,łódzkie
05-622,Aleksandrówka,Duży,grójecki,mazowieckie
26-900,Aleksandrówka,Kozienice,kozienicki,mazowieckie
05-311,Aleksandrówka,Wielkie,miński,mazowieckie
07-110,Aleksandrówka,Grębków,węgrowski,mazowieckie
26-720,Aleksandrówka,Policzna,zwoleński,mazowieckie
16-411,Aleksandrówka,Szypliszki,suwalski,podlaskie
42-248,Aleksandrówka,Przyrów,częstochowski,śląskie
62-600,Aleksandrówka,Koło,kolski,wielkopolskie
09-500,Aleksandrynów,Gostynin,gostyniński,mazowieckie
16-060,Aleksicze,Zabłudów,białostocki,podlaskie
16-506,Aleksiejówka,Giby,sejneński,podlaskie
05-604,Alfonsowo,Jasieniec,grójecki,mazowieckie
98-105,Alfonsów,Wodzierady,łaski,łódzkie
26-333,Alfonsów,Paradyż,opoczyński,łódzkie
99-232,Alfonsów,Zadzim,poddębicki,łódzkie
09-533,Alfonsów,Słubice,płocki,mazowieckie
39-460,Alfredówka,Dęba,tarnobrzeski,podkarpackie
62-540,Alinowo,Kleczew,koniński,wielkopolskie
22-122,Alojzów,Leśniowice,chełmski,lubelskie
22-550,Alojzów,Werbkowice,hrubieszowski,lubelskie
27-100,Alojzów,Iłża,radomski,mazowieckie
88-210,Altana,Dobre,radziejowski,kujawsko-pomorskie
96-500,Altanka,Sochaczew,sochaczewski,mazowieckie
66-439,Altona,Krzeszyce,sulęciński,lubuskie
32-566,Alwernia,Alwernia,chrzanowski,małopolskie
83-320,Amalka,Sulęczyno,kartuski,pomorskie
47-494,Amandów,Wielkie,raciborski,śląskie
99-122,Ambrożew,Małgorzaty,łęczycki,łódzkie
27-225,Ambrożów,Pawłów,starachowicki,świętokrzyskie
21-132,Amelin,Kamionka,lubartowski,lubelskie
21-220,Amelin,Siemień,parczewski,lubelskie
97-500,Amelin,Radomsko,radomszczański,łódzkie
06-212,Amelin,Krasnosielc,makowski,mazowieckie
26-001,Ameliówka,Masłów,kielecki,świętokrzyskie
89-200,Ameryczka,Szubin,nakielski,kujawsko-pomorskie
22-530,Ameryka,Mircze,hrubieszowski,lubelskie
46-300,Ameryka,Olesno,oleski,opolskie
83-323,Ameryka,Sierakowice,kartuski,pomorskie
11-015,Ameryka,Olsztynek,olsztyński,warmińsko-mazurskie
95-045,Anastazew,Parzęczew,zgierski,łódzkie
07-230,Anastazew,Zabrodzie,wyszkowski,mazowieckie
62-436,Anastazewo,Powidz,słupecki,wielkopolskie
97-400,Anastazów,Bełchatów,bełchatowski,łódzkie
09-541,Anatolin,Pacyna,gostyniński,mazowieckie
17-210,Ancuty,Narew,hajnowski,podlaskie
95-020,Andrespol,łódzki,wschodni,łódzkie
27-650,Andruszkowice,Samborzec,sandomierski,świętokrzyskie
34-120,Andrychów,Andrychów,wadowicki,małopolskie
18-507,Andrychy,Grabowo,kolneński,podlaskie
17-111,Andryjanki,Boćki,bielski,podlaskie
07-305,Andrzejewo,Andrzejewo,ostrowski,mazowieckie
18-400,Andrzejki,Łomża,łomżyński,podlaskie
07-407,Andrzejki-Tyszki,Czerwin,ostrołęcki,mazowieckie
22-113,Andrzejów,Kamień,chełmski,lubelskie
23-302,Andrzejów,Godziszów,janowski,lubelskie
22-234,Andrzejów,Urszulin,włodawski,lubelskie
98-432,Andrzejów,Łubnice,wieruszowski,łódzkie
98-220,Andrzejów,Wola,zduńskowolski,łódzkie
09-550,Andrzejów,Kościelny,gostyniński,mazowieckie
05-088,Andrzejów,Brochów,sochaczewski,mazowieckie
26-704,Andrzejów,Przyłęk,zwoleński,mazowieckie
23-400,Andrzejówka,Biłgoraj,biłgorajski,lubelskie
33-370,Andrzejówka,Muszyna,nowosądecki,małopolskie
05-192,Andzin,Nasielsk,nowodworski,mazowieckie
14-400,Anglity,Pasłęk,elbląski,warmińsko-mazurskie
89-620,Angowice,Chojnice,chojnicki,pomorskie
05-300,Anielew,Mazowiecki,miński,mazowieckie
62-510,Anielew,Kramsk,koniński,wielkopolskie
87-327,Anielewo,Bobrowo,brodnicki,kujawsko-pomorskie
62-530,Anielewo,Biskupi,koniński,wielkopolskie
62-410,Anielewo,Zagórów,słupecki,wielkopolskie
87-851,Anielin,Boniewo,włocławski,kujawsko-pomorskie
23-235,Anielin,Annopol,kraśnicki,lubelskie
24-100,Anielin,Puławy,puławski,lubelskie
99-306,Anielin,Łanięta,kutnowski,łódzkie
26-315,Anielin,Poświętne,opoczyński,łódzkie
97-525,Anielin,Wielgomłyny,radomszczański,łódzkie
98-313,Anielin,Konopnica,wieluński,łódzkie
95-010,Anielin,Stryków,zgierski,łódzkie
06-420,Anielin,Gołymin-Ośrodek,ciechanowski,mazowieckie
26-930,Anielin,Garbatka-Letnisko,kozienicki,mazowieckie
26-914,Anielin,Magnuszew,kozienicki,mazowieckie
09-120,Anielin,Miasto,płoński,mazowieckie
26-640,Anielin,Skaryszew,radomski,mazowieckie
62-817,Anielin,Żelazków,kaliski,wielkopolskie
64-965,Anielin,Okonek,złotowski,wielkopolskie
72-211,Anielino,Dobra,łobeski,zachodniopomorskie
89-110,Anieliny,Sadki,nakielski,kujawsko-pomorskie
98-338,Anielów,Sulmierzyce,pajęczański,łódzkie
08-460,Anielów,Sobolew,garwoliński,mazowieckie
22-310,Anielpol,Kraśniczyn,krasnostawski,lubelskie
63-620,Aniołka,Trzcinica,kępiński,wielkopolskie
63-500,Aniołki,Ostrzeszów,ostrzeszowski,wielkopolskie
82-440,Ankamaty,Dzierzgoń,sztumski,pomorskie
63-200,Annapol,Jarocin,jarociński,wielkopolskie
99-311,Annetów,Bedlno,kutnowski,łódzkie
21-100,Annobór,Lubartów,lubartowski,lubelskie
64-520,Annogóra,Obrzycko,szamotulski,wielkopolskie
42-110,Annolesie,Popów,kłobucki,śląskie
22-114,Annopol,Żmudź,chełmski,lubelskie
22-500,Annopol,Hrubieszów,hrubieszowski,lubelskie
21-150,Annopol,Kock,lubartowski,lubelskie
05-620,Annopol,Błędów,grójecki,mazowieckie
06-300,Annopol,Przasnysz,przasnyski,mazowieckie
05-282,Annopol,Strachówka,wołomiński,mazowieckie
62-850,Annopol,Lisków,kaliski,wielkopolskie
63-910,Annopol,Górka,rawicki,wielkopolskie
97-216,Annopol,Czerniewice,tomaszowski,łódzkie
63-022,Annopole,Wielkopolska,średzki,wielkopolskie
77-416,Annopole,Tarnówka,złotowski,wielkopolskie
96-232,Annosław,Regnów,rawski,łódzkie
86-330,Annowo,Gruta,grudziądzki,kujawsko-pomorskie
87-890,Annowo,Lubraniec,włocławski,kujawsko-pomorskie
88-410,Annowo,Gąsawa,żniński,kujawsko-pomorskie
89-210,Annowo,Łabiszyn,żniński,kujawsko-pomorskie
62-005,Annowo,Czerwonak,poznański,wielkopolskie
23-155,Annów,Zakrzew,lubelski,lubelskie
63-820,Anteczków,Piaski,gostyński,wielkopolskie
21-543,Antolin,Konstantynów,bialski,lubelskie
23-310,Antolin,Modliborzyce,janowski,lubelskie
97-212,Antolin,Budziszewice,tomaszowski,łódzkie
32-210,Antolka,Wielki,miechowski,małopolskie
42-320,Antolka,Niegowa,myszkowski,śląskie
19-520,Antomieszki,Mazurskie,gołdapski,warmińsko-mazurskie
07-438,Antonia,Łyse,ostrołęcki,mazowieckie
