,nazwa,Korekta,rodzaj,nazwa2,,Model,Numer wewnętrzny,Właściwa kategoria główna,Kategoria I,Kategoria II,Kategoria III,Zasięg,Udźwig (t),Dodatki
10104,Usługa wózkiem widłowym 8t,,Usługa,ogólna,x,,,Wozidła,Wózki widłowe,,,-,8,-
7051,Usługa wózkiem widłowym 8t,,Usługa,Wózki widlowe,x,,,Wozidła,Wózki widłowe,,,-,8,-
5076,Wózek widłowy 8t,,artykuł,Wózki widlowe,x,,,Wozidła,Wózki widłowe,,,-,8,-
8074,Wózek widłowy 8t,,artykuł,Wózki widlowe,x,,,Wozidła,Wózki widłowe,,,-,8,-
9053,Usługa wózkiem widłowym 7t,,Usługa,Wózki widlowe,x,,,Wozidła,Wózki widłowe,,,-,7,-
12129,Wózek widłowy 6t,,artykuł,ogólna,x,,,Wozidła,Wózki widłowe,,,-,6,-
10060,Wózek elektryczny 5t,,artykuł,Wózki widlowe,x,,,Wozidła,Wózek widłowy,Wózek widłowy elektryczny,,-,5,-
10082,Wózek widłowy 5t,,artykuł,Wózki widlowe,x,,,Wozidła,Wózki widłowe,,,-,5,-
3031,Wózek widłowy 5t - 21m.,,artykuł,Wózki widlowe,x,,,Wozidła,Wózki widłowe,,,21m,5,-
5088,Wózek widłowy 5t LPG,,artykuł,Wózki widlowe,x,,,Wozidła,Wózki widłowe,,,-,5,LPG
8054,Wózek widłowy 5t LPG,,artykuł,Wózki widlowe,x,,,Wozidła,Wózki widłowe,,,-,5,LPG
11090,Wózek widłowy elektryczny 5t,,artykuł,ogólna,x,,,Wozidła,Wózki widłowe,Wózki widłowe elektryczne,,-,5,-
5074,Zagęszczarka płytowa 450 kg,,artykuł,ogólna,x,,,Akcesoria,Zagęszczarka płytowa ,,,-,"0,45",-
11099,Usługa wózkiem widłowym 4.5t,,Usługa,ogólna,x,,,Wozidła,Wózki widłowe,,,-,"4,5",-
12108,Usługa ładowarką teleskopowa 3t,,Usługa,ogólna,x,,,Ładowarki teleskopowe,Ładowarki teleskopowe sztywne,,,-,3,-
12100,Usługa wózkiem widłowym 3t,,artykuł,ogólna,x,,,Wozidła,Wózki widłowe,,,-,3,-
12101,Usługa wózkiem widłowym 3t,,Usługa,ogólna,x,,,Wozidła,Wózki widłowe,,,-,3,-
10098,Wozidło budowlane 3t,,artykuł,ogólna,x,,,Wozidła,,,,-,3,-
5073,"Usługa wózkiem widłowym 3,5t",,artykuł,Wózki widlowe,x,,,Wozidła,Wózki widłowe,,,-,"3,5",-
12135,"Wózek widłowy 3,5t",,artykuł,ogólna,x,,,Wozidła,Wózki widłowe,,,-,"3,5",-
10086,"Wózek widłowy 3,5t LPG",,artykuł,Wózki widlowe,x,,,Wozidła,Wózki widłowe,,,-,"3,5",LPG
10087,"Wózek widłowy 3,5t LPG z przedłużkami",,artykuł,Wózki widlowe,x,,,Wozidła,Wózki widłowe,,,-,"3,5",LPG z przedłużkami
10088,"Wózek widłowy 3,5t spalinowy z przedłużkami",,artykuł,Wózki widlowe,x,,,Wozidła,Wózki widłowe,Wózki widłowe spalinowe,,-,"3,5",z przedłużkami
12110,Usługa wókiem widłowym 2t LPG,,Usługa,Wózki widlowe spalinowe,x,,,Wozidła,Wózki widłowe,,,,2,LPG
12114,Usługa wózkiem widłowym 2t z przedłużkami,,Usługa,ogólna,x,,,Wozidła,Wózki widłowe,,,-,2,z przedłużkami
5072,Wózek widłowy 2t,,artykuł,Wózki widlowe,x,,,Wozidła,Wózki widłowe,,,-,2,-
10084,Wózek widłowy 2t,,artykuł,Wózki widlowe,x,,,Wozidła,Wózki widłowe,,,-,2,-
4058,Wózek widłowy 2t,,artykuł,Wózki widlowe,x,,,Wozidła,Wózki widłowe,,,-,2,-
12128,Wózek widłowy 2t elektryczny,,artykuł,ogólna,x,,,Wozidła,Wózki widłowe,Wózki widłowe elektryczne,,-,2,-
11096,Wózek widłowy LPG 2t,,artykuł,ogólna,x,,,Wozidła,Wózki widłowe,Wózki widłowe gazowe,,-,2,LPG
12134,Wózek widłowy LPG 2t,,artykuł,ogólna,x,,,Wozidła,Wózki widłowe,Wózki widłowe gazowe,,-,2,LPG
11127,"Usługa wózkiem widłowym 2,5t",,Usługa,ogólna,x,,,Wozidła,Wózki widłowe,,,-,"2,5",-
8063,"Usługa wózkiem widłowym 2,5t",,Usługa,Wózki widlowe,x,,,Wozidła,Wózki widłowe,,,-,"2,5",-
9045,"Wózek widłowy 2,5",,artykuł,Wózki widlowe,x,,,Wozidła,Wózki widłowe,,,-,"2,5",-
9046,"wózek widłowy 2,5t",,artykuł,Wózki widlowe,x,,,Wozidła,Wózki widłowe,,,-,"2,5",-
10049,"Wózek widłowy 2,5t",,artykuł,Wózki widlowe,x,,,Wozidła,Wózki widłowe,,,-,"2,5",-
9047,"Wózek widłowy 2,5t",,artykuł,Wózki widlowe,x,,,Wozidła,Wózki widłowe,,,-,"2,5",-
7050,"Wózek widłowy LPG 2,5t",,artykuł,Wózki widlowe,x,,,Wozidła,Wózki widłowe,,,-,"2,5",LPG
2013,Usługa ładowarka teleskopowa 10 t,,Usługa,Ladowarki teleskopowe,x,,,Ładowarka teleskopowa,Ładowarki Teleskopowe Sztywne,,,-,10,-
12126,Usługa ładowarką teleskopową 10t,,Usługa,ogólna,x,,,Ładowarka teleskopowa,Ładowarki Teleskopowe Sztywne,,,-,10,-
5063,"Wózek widłowy 1,6t elektryczny",,artykuł,Wózki widlowe,x,,,Wozidła,Wózki widłowe,Wózki widłowe elektryczne,,-,"1,6",-
5084,Ładowarka obrotowa 16 m,,artykuł,ogólna,x,,,Ładowarki Teleskopowe,Ładowarki Teleskopowe Obrotowe,,,16m,-,-
11110,Ładowarka teleskopowa 12m,,artykuł,ogólna,x,,,Ładowarki Teleskopowe ,Ładowarki Teleskopowe Sztywne,,,12m,-,-
6045,Ładowarka teleskopowa 13m,,artykuł,Ladowarki teleskopowe,x,,,Ładowarki Teleskopowe ,Ładowarki Teleskopowe Sztywne,,,13m,-,-
3035,Ładowarka teleskopowa 13m,,artykuł,Ladowarki teleskopowe,x,,,Ładowarki Teleskopowe ,Ładowarki Teleskopowe Sztywne,,,13m,-,-
8049,Ładowarka teleskopowa 13m,,artykuł,Ladowarki teleskopowe,x,,,Ładowarki Teleskopowe ,Ładowarki Teleskopowe Sztywne,,,13m,-,-
10056,Ładowarka teleskopowa 13m z łyżką,,artykuł,Ladowarki teleskopowe,x,,,Ładowarki Teleskopowe ,Ładowarki Teleskopowe Sztywne,,,13m,-,z łyżką
10077,Ładowarka teleskopowa 14m,,artykuł,Ladowarki teleskopowe,x,,,Ładowarki Teleskopowe ,Ładowarki Teleskopowe Sztywne,,,14m,-,-
12105,Ładowarka teleskopowa 14m,,artykuł,ogólna,x,,,Ładowarki Teleskopowe ,Ładowarki Teleskopowe Sztywne,,,14m,-,-
5055,Ładowarka teleskopowa 14m,,artykuł,Ladowarki teleskopowe,x,,,Ładowarki Teleskopowe ,Ładowarki Teleskopowe Sztywne,,,14m,-,-
11117,Ładowarka teleskopowa 17m,,artykuł,ogólna,x,,,Ładowarki Teleskopowe ,Ładowarki Teleskopowe Sztywne,,,17m,-,-
7052,Ładowarka teleskopowa 17m,,artykuł,Ladowarki teleskopowe,x,,,Ładowarki Teleskopowe ,Ładowarki Teleskopowe Sztywne,,,17m,-,-
8058,Ładowarka teleskopowa 17m,,artykuł,Ladowarki teleskopowe,x,,,Ładowarki Teleskopowe ,Ładowarki Teleskopowe Sztywne,,,17m,-,-
10103,Ładowarka teleskopowa 17m,,artykuł,Ladowarki teleskopowe,x,,,Ładowarki Teleskopowe ,Ładowarki Teleskopowe Sztywne,,,17m,-,-
11095,Ładowarka teleskopowa 17m z hakiem,,artykuł,ogólna,x,,,Ładowarki Teleskopowe ,Ładowarki Teleskopowe Sztywne,,,17m,-,z hakiem
11122,Ładowarka teleskopowa 17m z łyżką,,artykuł,ogólna,x,,,Ładowarki Teleskopowe ,Ładowarki Teleskopowe Sztywne,,,17m,-,z łyżką
10089,Ładowarka teleskopowa 17m z przedłużkami,,artykuł,Ladowarki teleskopowe,x,,,Ładowarki Teleskopowe ,Ładowarki Teleskopowe Sztywne,,,17m,-,z przedłużkami
3030,Ładowarka teleskopowa 21,,artykuł,Ladowarki teleskopowe,x,,,Ładowarki Teleskopowe ,Ładowarki Teleskopowe Sztywne,,,21m,-,-
